tweet_id,tweet_text,polarity
48,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
49,"@realDonaldTrump WTH
This Pakistani girl claim that she is daughter of Trump.
She said she was kidnapped from India… https://t.co/1jr7Z8uW6m",positive
50,"@realDonaldTrump WTH
This Pakistani girl claim that she is daughter of Trump.
She said she was kidnapped from India… https://t.co/dBWshVJ7D9",positive
51,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
52,@rssurjewala All TV's except probably Mirror Now showing like Osama Bin Laden is being caught.,negative
53,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
54,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
55,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
56,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
57,"RT @McguireScotty: Muslim cleric says jihad is now ""mandatory"" against India over Jammu and Kashmir

A FIREBRAND cleric with links to Osama…",neutral
58,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
59,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
60,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
61,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
62,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
63,"RT @BledsoeChuck: Tucker Tackles Biden’s ‘Embellished’ Biography: ‘He Was A Coal Miner’ | The Daily Caller ~ 

“He was a coal miner, he was…",neutral
64,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
65,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
66,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
67,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
68,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
69,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
70,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
71,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
72,"VERY OBVIOUS &amp; LOGICAL,GEN ZIA TEAM DECIDED TO WORK WITH IRAN AND ARABS TO HANDLE THE SITUATION,AS MOST OF MUJAHIDE… https://t.co/MfXg0rW5YA",negative
73,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
74,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
75,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
76,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
77,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
78,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
79,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
80,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
81,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
82,"#StopKillingKashmiris
Indians who comment on our trends only have few things to say Pakistan is running on loan,Osa… https://t.co/nAoCQGP57O",neutral
83,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
84,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
85,@HyArafat @AZHAR23092016 @ramanswall @ghulamabbasshah @realDonaldTrump @SMQureshiPTI @ashoswai @LodhiMaleeha… https://t.co/9Qz4jYOZ3q,positive
86,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
87,"@JYounas41 @amritabhinder @NBCNews @Reuters The world also knows this.

https://t.co/30cmAaXMLr",positive
88,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
89,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
90,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
91,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
92,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
93,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
94,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
95,"RT @SameeraKhan: In the same tweet, you’re claiming that Pakistan (Kashmir, Balochistan, Khyber Pakhtunkhwa, Sindh, etc.) is an integral pa…",neutral
96,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
97,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
98,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
99,"@UnrankedChevron Hell, I remember when we supposedly got Osama bin Laden, the most wanted man in global history, an… https://t.co/p9vCqA9fMI",positive
100,RT @MajorPoonia: Madam @priyankagandhi Ji by your logic Osama Bin Laden was also extremely qualified &amp; is respected figure for terrorists a…,negative
